

 AStar finished. Time of algorithm: 13.514937 seconds.

Distance 958815.812168 meters.

The number of nodes visited is 6649 .

Node id: 1349602980 | Distance:  954465.03  
Node id: 1349602961 | Distance:  954454.14  
Node id: 1349603055 | Distance:  954440.68  
Node id: 1349602993 | Distance:  954437.81  
Node id: 1349603062 | Distance:  954429.74  
Node id: 1349603013 | Distance:  954413.56  
Node id:  715725744 | Distance:  954260.85  
Node id:  424267024 | Distance:  954138.30  
Node id:  493680502 | Distance:  954022.98  
Node id:  493680975 | Distance:  953896.90  
Node id:  424267031 | Distance:  953782.04  
Node id:  493681049 | Distance:  953665.97  
Node id:  493681618 | Distance:  953540.58  
Node id:  715725807 | Distance:  953464.64  
Node id:  715725841 | Distance:  953348.79  
Node id:  715725840 | Distance:  953229.48  
Node id:  715725844 | Distance:  953104.47  
Node id:  715725846 | Distance:  952995.90  
Node id:  787488687 | Distance:  952943.94  
Node id:  787488682 | Distance:  952886.06  
Node id:  715725848 | Distance:  952836.40  
Node id:  715654837 | Distance:  952823.51  
Node id:  715654839 | Distance:  952815.58  
Node id:  715654840 | Distance:  952805.83  
Node id:  715654844 | Distance:  952799.47  
Node id:  715654845 | Distance:  952792.84  
Node id:  715654825 | Distance:  952787.66  
Node id:  715654847 | Distance:  952781.35  
Node id:  715654823 | Distance:  952764.10  
Node id:  424266994 | Distance:  952700.56  
Node id:  715654923 | Distance:  952643.42  
Node id:  424266995 | Distance:  952435.96  
Node id:  424266996 | Distance:  952298.19  
Node id:  476258811 | Distance:  952236.21  
Node id:  248799004 | Distance:  952204.46  
Node id:  248799021 | Distance:  952199.54  
Node id:  248799020 | Distance:  952191.36  
Node id:  248799019 | Distance:  952185.80  
Node id:  476258763 | Distance:  952179.86  
Node id:  248799018 | Distance:  952174.57  
Node id:  315254719 | Distance:  952158.91  
Node id:  315254691 | Distance:  952142.09  
Node id:  315254692 | Distance:  952126.63  
Node id:  248733747 | Distance:  952112.91  
Node id:  315254628 | Distance:  952075.74  
Node id:  248733746 | Distance:  952046.21  
Node id:  248733744 | Distance:  951907.14  
Node id:  248733743 | Distance:  951770.35  
Node id:  248733742 | Distance:  951725.18  
Node id:  248733741 | Distance:  951675.34  
Node id:  248733740 | Distance:  951558.05  
Node id:  554191705 | Distance:  951520.42  
Node id:  248733739 | Distance:  951309.31  
Node id:  248733738 | Distance:  951276.27  
Node id:  248733737 | Distance:  951221.71  
Node id:  248733199 | Distance:  951177.72  
Node id:  248733198 | Distance:  951098.86  
Node id:  248733197 | Distance:  951034.42  
Node id:  248733200 | Distance:  950990.75  
Node id:  248733167 | Distance:  950940.39  
Node id:  248733166 | Distance:  950912.51  
Node id:  248733165 | Distance:  950773.67  
Node id:  248733164 | Distance:  950706.63  
Node id:  248733163 | Distance:  950647.11  
Node id:  248733162 | Distance:  950612.21  
Node id:  248733161 | Distance:  950505.41  
Node id:  248732710 | Distance:  950121.40  
Node id:  248730949 | Distance:  949976.12  
Node id:  248732709 | Distance:  949948.48  
Node id:  248732708 | Distance:  949857.85  
Node id:  248732707 | Distance:  949767.01  
Node id:  248732706 | Distance:  949718.03  
Node id:  248732705 | Distance:  949692.79  
Node id:  248732704 | Distance:  949660.21  
Node id:  248732703 | Distance:  949624.47  
Node id:  890594563 | Distance:  949533.75  
Node id:  248732702 | Distance:  949456.79  
Node id:  248732701 | Distance:  949338.92  
Node id:  248732700 | Distance:  949147.34  
Node id:  890589535 | Distance:  949123.69  
Node id:  248732699 | Distance:  949087.27  
Node id:  248732698 | Distance:  948808.77  
Node id:  248732697 | Distance:  948768.00  
Node id:  248732696 | Distance:  948742.81  
Node id:  248732695 | Distance:  948705.26  
Node id:  248732694 | Distance:  948629.88  
Node id:  248732693 | Distance:  948587.29  
Node id:  248732692 | Distance:  948553.92  
Node id:  248732691 | Distance:  948516.49  
Node id:  248732690 | Distance:  948462.44  
Node id:  248732689 | Distance:  948190.87  
Node id:  248732688 | Distance:  947958.80  
Node id:  248732687 | Distance:  947745.12  
Node id:  248732686 | Distance:  947571.91  
Node id:  248732685 | Distance:  947371.02  
Node id:  248732684 | Distance:  947160.91  
Node id:  248968492 | Distance:  947121.87  
Node id:  248968491 | Distance:  947094.43  
Node id: 1064883760 | Distance:  947075.90  
Node id: 1064883765 | Distance:  947056.50  
Node id: 1064883768 | Distance:  947044.28  
Node id:  248968490 | Distance:  947015.95  
Node id:  248968489 | Distance:  946972.61  
Node id:  248968445 | Distance:  946932.28  
Node id:  248968563 | Distance:  946526.81  
Node id:  248968568 | Distance:  946262.26  
Node id:  248968569 | Distance:  946212.37  
Node id:  248968570 | Distance:  946168.59  
Node id:  248968571 | Distance:  945884.72  
Node id:  248968597 | Distance:  945848.52  
Node id:  248968598 | Distance:  945717.09  
Node id:  248968599 | Distance:  945621.89  
Node id:  248968594 | Distance:  945531.07  
Node id:  248968595 | Distance:  945493.64  
Node id:  248969147 | Distance:  945054.65  
Node id:  248969148 | Distance:  944750.49  
Node id:  308645308 | Distance:  944732.34  
Node id:  248969149 | Distance:  944617.73  
Node id:  308645566 | Distance:  944484.20  
Node id:  308670559 | Distance:  944464.98  
Node id:  248969150 | Distance:  944337.60  
Node id:  248969151 | Distance:  944275.48  
Node id:  308617443 | Distance:  944161.79  
Node id:  248969152 | Distance:  944039.50  
Node id:  248969153 | Distance:  943944.46  
Node id:  248969154 | Distance:  943721.09  
Node id:  248969155 | Distance:  943675.03  
Node id:  308616489 | Distance:  943518.98  
Node id:  248969156 | Distance:  943343.19  
